id;name;bezeichnung;zusammenfassung;start;ende;gesamt;satz;kofinanzierung;plz;land;themenfeld
432;"ABT gGmbH - Akademie für berufliches Training";"Sozialassistent/-in Familie - Schwerpunkt Kinderbetreuung und -pflege (ABT-Kurs KIB-16.1)";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-01;2016-10-28;113.875;49,92%;57.024;10407;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
435;"Förderverein Soziales und Bildung (FSB)";"Pflegebasiskurs und Betreuung nach § 87b SGB XI";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-04;2016-09-21;106.758;49,92%;53.46;13053;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
438;"Förderverein Soziales und Bildung (FSB)";"Pflegebasiskurs und Betreuung nach § 87b SGB XI";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-04;2016-09-21;106.758;49,92%;53.46;13053;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
441;"A&QUA gGmbH";"Online-Marketing & Social Media mit integrierter Deutsch-Förderung";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-04;2016-09-30;91.1;49,92%;45.619;10997;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
444;"A&QUA gGmbH";"Online-Marketing & Social Media mit integrierter Deutsch-Förderung";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-04;2016-09-30;91.1;49,92%;45.619;10997;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
447;"ABT gGmbH - Akademie für berufliches Training";"Fachkraft für Sicherheitsdienstleistungen (ABT-Kurs SFK-16.1)";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-01;2016-09-30;131.8;49,92%;66;10407;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
450;"ABT gGmbH - Akademie für berufliches Training";"Fachkraft für Sicherheitsdienstleistungen (ABT-Kurs SFK-16.1)";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-01;2016-09-30;131.8;49,92%;66;10407;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
453;"Förderverein Soziales und Bildung (FSB)";"Betreuer / Inklusionshelfer mit Grundlagen Sozialassistenz";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-05;2016-10-21;106.758;49,92%;53.46;13053;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
456;"Förderverein Soziales und Bildung (FSB)";"Betreuer / Inklusionshelfer mit Grundlagen Sozialassistenz";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-05;2016-10-21;106.758;49,92%;53.46;13053;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
459;"KHS Kirchhofschmiede gGmbH";"Fit für Service und Verkauf - mit berufsbezogener Sprachförderung";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-06;2016-10-05;79.08;49,92%;39.6;10997;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
462;"KHS Kirchhofschmiede gGmbH";"Fit für Service und Verkauf - mit berufsbezogener Sprachförderung";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-06;2016-10-05;79.08;49,92%;39.6;10997;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
465;"Kulturring in Berlin e. V.";"Berufsdeutsch und PC-Kurs, insbesondere für MigrantInnen, Schwerpunkt Büroassistenz";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-11;2016-10-18;56.542;49,92%;28.314;12437;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
468;"Kulturring in Berlin e. V.";"Berufsdeutsch und PC-Kurs, insbesondere für MigrantInnen, Schwerpunkt Büroassistenz";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-11;2016-10-18;56.542;49,92%;28.314;12437;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
471;"Umweltbüro für Berlin-Brandenburg e. V. (UBB)";"Praxisnahe Weiterbildung im Umwelt-, Natur- und Klimaschutz";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-11;2016-11-30;52.258;49,92%;26.169;10439;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
474;"Umweltbüro für Berlin-Brandenburg e. V. (UBB)";"Praxisnahe Weiterbildung im Umwelt-, Natur- und Klimaschutz";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-11;2016-11-30;52.258;49,92%;26.169;10439;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
477;"soko.bildung GmbH";"Weiterbildung im Berufsfeld der Maßschneiderin mit berufsbezogenem Deutschunterricht";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-06;2016-09-30;77.498;49,92%;38.808;12055;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
480;"soko.bildung GmbH";"Weiterbildung im Berufsfeld der Maßschneiderin mit berufsbezogenem Deutschunterricht";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-06;2016-09-30;77.498;49,92%;38.808;12055;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
483;"Interkulturell-Aktiv e.V.";"Qualifizierung zum/zur Theaterpädagoge_in mit interkultureller Kompetenz (BuT) 3";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-06-13;2017-07-17;257.01;49,92%;128.7;10551;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
486;"Interkulturell-Aktiv e.V.";"Qualifizierung zum/zur Theaterpädagoge_in mit interkultureller Kompetenz (BuT) 3";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-06-13;2017-07-17;257.01;49,92%;128.7;10551;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
489;"DIDACTICA priv. kfm. Berufsbildungs GmbH";"Berufliches Deutsch für Büroassistenten/innen";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-11;2016-09-30;92.523;49,92%;46.332;10627;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
492;"DIDACTICA priv. kfm. Berufsbildungs GmbH";"Berufliches Deutsch für Büroassistenten/innen";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-11;2016-09-30;92.523;49,92%;46.332;10627;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
495;"BTB Bildungszentrum GmbH";"PFBK_1-16 Fachkraft für Pflege und Betreuung";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-11;2016-09-30;114.929;49,92%;57.552;10178;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
498;"BTB Bildungszentrum GmbH";"PFBK_1-16 Fachkraft für Pflege und Betreuung";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-11;2016-09-30;114.929;49,92%;57.552;10178;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
501;"WeTeK Berlin gGmbH, gemeinnützige Gesellschaft für Qualifizierung, Ausbildung und Jugendkultur";"Vorbereitung auf die berufsbegleitende Erzieherausbildung mit integrierter Sprachförderung";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-18;2016-09-30;81.821;49,92%;40.972;10119;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
504;"WeTeK Berlin gGmbH, gemeinnützige Gesellschaft für Qualifizierung, Ausbildung und Jugendkultur";"Vorbereitung auf die berufsbegleitende Erzieherausbildung mit integrierter Sprachförderung";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-18;2016-09-30;81.821;49,92%;40.972;10119;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
507;"ABT gGmbH - Akademie für berufliches Training";"Pflege- und Betreuungsassistent/-in (ABT-Kurs AKP-16.1)";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-18;2016-10-21;105.44;49,92%;52.8;10407;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
510;"ABT gGmbH - Akademie für berufliches Training";"Pflege- und Betreuungsassistent/-in (ABT-Kurs AKP-16.1)";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-18;2016-10-21;105.44;49,92%;52.8;10407;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
513;"Personal_inform GmbH";"Berufsweg Bürokommunikation - Deutsch für kaufmännische Berufe - 1";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-18;2016-10-30;106.758;49,92%;53.46;10117;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
516;"Personal_inform GmbH";"Berufsweg Bürokommunikation - Deutsch für kaufmännische Berufe - 1";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-18;2016-10-30;106.758;49,92%;53.46;10117;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
519;"DW Berlin-Brandenburg-schlesische Oberlausitz e. V.";"Jobbrücke -  Erhöhung der Beschäftigungsfähigkeit für Menschen mit Schwerbehinderung";"Ziel des Projekts ist die Förderung der beruflichen Integration von schwerbehinderten Menschen und die Stärkung bürgerschaftlichen Engagements in diesem Themenfeld durch die Vermittlung von Integrations-PATENSCHAFTEN zwischen motivierten, langzeitarbeitslosen Menschen mit Handicap/Schwerbehinderung und ehrenamtlichen Integrations-PATINNEN und -PATEN.
Mit Hilfe der Integrations-PATENSCHAFTEN sollen 35 arbeitslose schwerbehinderte Menschen gefördert und begleitet werden, dazu sollen 25 ehrenamtliche Integrations-PATINNEN und -PATEN aquiriert, weitergebildet und in die Patenschaften vermittelt werden. Allen Teilnehmern wird eine individuelle und personalisierte Dienstleistung (Empowerment) in der Patenschaft zur Verfügung gestellt. Die Ergebnisse werden in einem Zertifikat benannt und bestätigt.";2016-07-14;2017-12-31;201.859;50%;0;12163;DE300;"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung..."
522;"DW Berlin-Brandenburg-schlesische Oberlausitz e. V.";"Jobbrücke -  Erhöhung der Beschäftigungsfähigkeit für Menschen mit Schwerbehinderung";"Ziel des Projekts ist die Förderung der beruflichen Integration von schwerbehinderten Menschen und die Stärkung bürgerschaftlichen Engagements in diesem Themenfeld durch die Vermittlung von Integrations-PATENSCHAFTEN zwischen motivierten, langzeitarbeitslosen Menschen mit Handicap/Schwerbehinderung und ehrenamtlichen Integrations-PATINNEN und -PATEN.
Mit Hilfe der Integrations-PATENSCHAFTEN sollen 35 arbeitslose schwerbehinderte Menschen gefördert und begleitet werden, dazu sollen 25 ehrenamtliche Integrations-PATINNEN und -PATEN aquiriert, weitergebildet und in die Patenschaften vermittelt werden. Allen Teilnehmern wird eine individuelle und personalisierte Dienstleistung (Empowerment) in der Patenschaft zur Verfügung gestellt. Die Ergebnisse werden in einem Zertifikat benannt und bestätigt.";2016-07-14;2017-12-31;201.859;50%;0;12163;DE300;"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung..."
525;"Personal_inform GmbH";"Berufsweg Bürokommunikation - Deutsch für kaufmännische Berufe - 2";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-18;2016-10-31;106.758;49,92%;53.46;10117;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
528;"Personal_inform GmbH";"Berufsweg Bürokommunikation - Deutsch für kaufmännische Berufe - 2";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-18;2016-10-31;106.758;49,92%;53.46;10117;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
531;"A&QUA gGmbH";"Schneidern & Mode-Design mit integrierter Deutsch-Förderung";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-18;2016-10-14;90.388;49,92%;45.262;10997;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
534;"A&QUA gGmbH";"Schneidern & Mode-Design mit integrierter Deutsch-Förderung";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-18;2016-10-14;90.388;49,92%;45.262;10997;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
537;"Bildung und Integration e.V.";"Bürokaufleute mit berufsbezogenem Sprachanteil (1.2016)";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-18;2016-10-17;92.787;49,92%;46.464;10715;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
540;"Bildung und Integration e.V.";"Bürokaufleute mit berufsbezogenem Sprachanteil (1.2016)";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-18;2016-10-17;92.787;49,92%;46.464;10715;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
543;"Bildung und Integration e.V.";"Bürokaufleute mit berufsbezogenem Sprachanteil (2.2016)";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-18;2016-10-17;92.787;49,92%;46.464;10715;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
546;"Bildung und Integration e.V.";"Bürokaufleute mit berufsbezogenem Sprachanteil (2.2016)";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-18;2016-10-17;92.787;49,92%;46.464;10715;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
549;"BTB Bildungszentrum GmbH";"PflMigr_2-16  Pflegebasiskurs mit Sprachförderung DaZ";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-18;2016-10-31;121.256;49,92%;60.72;10178;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
552;"BTB Bildungszentrum GmbH";"PflMigr_2-16  Pflegebasiskurs mit Sprachförderung DaZ";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-18;2016-10-31;121.256;49,92%;60.72;10178;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
555;"BIBERA gGmbH";"Pflege Flex";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-27;2016-10-14;35.586;49,92%;17.82;10555;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
558;"BIBERA gGmbH";"Pflege Flex";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-27;2016-10-14;35.586;49,92%;17.82;10555;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
561;"BTB Bildungszentrum GmbH";"PflMigr_1-16     Pflegebasiskurs mit Sprachförderung DaZ";"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.
Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.";2016-04-18;2016-10-31;121.256;49,92%;60.72;10178;DE300;"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
